Subject,BrainVolumes
IXI632-HH-2652,1379224.71893815
IXI633-HH-2689,1633432.07779415
IXI634-HH-2690,1532911.53608859
IXI635-HH-2691,1711977.86726388
IXI636-HH-2733,1710531.75927666
IXI637-HH-2785,1458177.45377454
IXI638-HH-2786,1684045.48527212
IXI639-Guys-1088,1647476.00236014
IXI640-Guys-1106,1468814.38624954
IXI641-Guys-1105,1645154.63573082
IXI642-Guys-1104,1522429.09416316
IXI643-HH-2787,1672072.32185203
IXI644-Guys-1121,1707634.10371905
IXI646-HH-2653,1394700.42896827
IXI648-Guys-1107,1532279.34188606
IXI651-Guys-1118,1289461.91532958
IXI652-Guys-1116,1625788.17982322
IXI653-Guys-1122,1585513.71968536
IXI661-HH-2788,1230726.87573438
IXI662-Guys-1120,1656281.30753653
